Association,Resource Name,Link to Resource
Rice University,Rice Mutual Aid Facebook Page,https://www.facebook.com/Rice-Mutual-AidHelp-107493917541795/
Texas A&M University,Texas A&M/College Station/Bryan Mutual Aid Document,https://docs.google.com/document/d/1wR4Ya3bkWRGUTBfPYampP_MXXUPPKYMv0S06vaiHNY0/edit?fbclid=IwAR0UwyLdTpSiZG502r8X9xLnHi5Z7MtIV-q7e0e6NoSIY07XIBgC-C3QKg8
